date,Open,Low,High,Close,Volume
2021-10-20 12:45:00,452.39,452.31,452.53,452.5,818700
2021-10-20 13:00:00,452.5,451.91,452.53,451.98,1619887
2021-10-20 13:15:00,451.99,451.02,452.02,451.7999,2322357
2021-10-20 13:30:00,451.8,451.5,451.9,451.765,961940
2021-10-20 13:45:00,451.76,451.63,451.88,451.8,653648
2021-10-20 14:00:00,451.805,451.72,452.24,452.205,2124825
2021-10-20 14:15:00,452.2,451.97,452.35,452.145,1150070
2021-10-20 14:30:00,452.14,452.04,452.29,452.04,780812
2021-10-20 14:45:00,452.05,452.04,452.36,452.23,1978252
2021-10-20 15:00:00,452.23,452.22,452.51,452.28,1608707
2021-10-20 15:15:00,452.275,451.975,452.29,451.99,1296607
2021-10-20 15:30:00,451.99,451.635,452.03,451.89,2057559
2021-10-20 15:45:00,451.9,451.7736,452.4,452.4,6390883
2021-10-21 09:30:00,451.77,451.31,451.93,451.585,2391793
2021-10-21 09:45:00,451.58,451.58,452.2,452.0073,1808090
2021-10-21 10:00:00,452.0,451.77,452.27,452.145,1312886
2021-10-21 10:15:00,452.14,452.02,452.475,452.47,1327881
2021-10-21 10:30:00,452.47,452.3201,452.59,452.535,1021433
2021-10-21 10:45:00,452.535,452.33,452.86,452.33,1415776
2021-10-21 11:00:00,452.35,451.95,452.58,452.1399,1181793
2021-10-21 11:15:00,452.13,451.4,452.165,451.44,1938033
2021-10-21 11:30:00,451.44,451.36,451.76,451.75,1242067
2021-10-21 11:45:00,451.755,451.71,452.02,451.95,938567
2021-10-21 12:00:00,451.955,451.77,452.19,452.1599,2152475
2021-10-21 12:15:00,452.15,451.99,452.27,452.21,780109
2021-10-21 12:30:00,452.2,451.9235,452.22,452.09,569116
2021-10-21 12:45:00,452.09,451.94,452.26,452.134,954625
2021-10-21 13:00:00,452.12,452.04,452.27,452.1,570613
2021-10-21 13:15:00,452.105,452.03,452.38,452.31,588836
2021-10-21 13:30:00,452.31,452.271,452.42,452.29,1058598
2021-10-21 13:45:00,452.29,451.7629,452.3,451.92,1292768
2021-10-21 14:00:00,451.93,451.91,452.19,451.98,1013071
2021-10-21 14:15:00,451.98,451.98,452.43,452.3701,821046
2021-10-21 14:30:00,452.38,452.22,452.45,452.34,500434
2021-10-21 14:45:00,452.33,452.25,452.49,452.49,583851
2021-10-21 15:00:00,452.5,452.5,452.91,452.79,1532247
2021-10-21 15:15:00,452.78,452.74,453.275,453.24,1397299
2021-10-21 15:30:00,453.24,452.94,453.31,453.1798,1713735
2021-10-21 15:45:00,453.16,452.99,453.829,453.61,6043723
2021-10-22 09:30:00,453.13,452.91,454.21,454.05,3206813
2021-10-22 09:45:00,454.05,453.23,454.195,453.86,2463399
2021-10-22 10:00:00,453.84,453.58,454.04,453.82,1369309
2021-10-22 10:15:00,453.82,453.79,454.67,454.65,1560802
2021-10-22 10:30:00,454.65,453.66,454.66,453.765,1315118
2021-10-22 10:45:00,453.77,453.35,454.0,453.495,1217707
2021-10-22 11:00:00,453.49,453.47,453.93,453.6,1384971
2021-10-22 11:15:00,453.59,451.94,453.6,452.42,3660309
2021-10-22 11:30:00,452.43,451.0895,452.54,451.455,3927230
2021-10-22 11:45:00,451.44,451.05,452.03,451.811,2682034
2021-10-22 12:00:00,451.81,451.35,452.26,452.18,1949299
2021-10-22 12:15:00,452.17,451.88,452.35,452.35,1349048
2021-10-22 12:30:00,452.34,452.28,453.14,453.04,2229218
2021-10-22 12:45:00,453.04,452.67,453.35,452.69,1729561
2021-10-22 13:00:00,452.7,452.57,453.04,452.7709,1006590
2021-10-22 13:15:00,452.805,452.69,453.169,452.87,672579
2021-10-22 13:30:00,452.89,452.695,453.28,453.01,962980
2021-10-22 13:45:00,453.01,452.49,453.1801,452.535,962259
2021-10-22 14:00:00,452.53,452.53,453.14,453.0,1197094
2021-10-22 14:15:00,453.01,452.87,453.42,453.42,1158072
2021-10-22 14:30:00,453.426,453.39,454.08,453.59,2285578
2021-10-22 14:45:00,453.59,453.1101,453.68,453.13,993191
2021-10-22 15:00:00,453.15,452.85,453.26,452.99,1691362
2021-10-22 15:15:00,452.99,452.7,453.24,452.965,2020896
2021-10-22 15:30:00,452.96,452.96,453.67,453.1,3253446
2021-10-22 15:45:00,453.11,452.89,453.44,453.13,5775336
2021-10-25 09:30:00,454.28,452.39,454.3,452.95,3213241
2021-10-25 09:45:00,452.97,452.67,453.79,453.67,2020367
2021-10-25 10:00:00,453.68,453.42,453.97,453.54,2630126
2021-10-25 10:15:00,453.53,453.29,454.02,453.92,1398684
2021-10-25 10:30:00,453.92,453.705,454.08,453.95,1665278
2021-10-25 10:45:00,453.94,453.85,454.28,454.18,927832
2021-10-25 11:00:00,454.17,454.01,454.658,454.64,1508040
2021-10-25 11:15:00,454.6487,454.34,454.69,454.62,1022027
2021-10-25 11:30:00,454.64,454.36,454.64,454.555,809396
2021-10-25 11:45:00,454.56,454.45,454.91,454.89,939588
2021-10-25 12:00:00,454.895,454.745,455.36,455.24,1847459
2021-10-25 12:15:00,455.2499,455.07,455.45,455.34,875012
2021-10-25 12:30:00,455.34,455.1701,455.47,455.39,613466
2021-10-25 12:45:00,455.39,455.35,455.57,455.38,602274
2021-10-25 13:00:00,455.38,455.38,455.9,455.84,920924
2021-10-25 13:15:00,455.85,455.4503,455.855,455.63,776978
2021-10-25 13:30:00,455.62,455.26,455.71,455.39,978491
2021-10-25 13:45:00,455.38,455.255,455.5,455.43,628962
2021-10-25 14:00:00,455.4,455.2,455.44,455.29,818736
2021-10-25 14:15:00,455.29,455.29,455.78,455.77,1076065
2021-10-25 14:30:00,455.76,455.44,455.89,455.49,1047815
2021-10-25 14:45:00,455.49,455.37,455.64,455.51,847183
2021-10-25 15:00:00,455.52,455.3,455.59,455.33,930606
2021-10-25 15:15:00,455.345,455.1,455.44,455.44,1357475
2021-10-25 15:30:00,455.43,455.1895,455.47,455.33,2071718
2021-10-25 15:45:00,455.32,454.88,455.51,455.49,6995162
2021-10-26 09:30:00,457.2,456.78,457.8,457.61,3346995
2021-10-26 09:45:00,457.61,457.31,457.76,457.4,1919769
2021-10-26 10:00:00,457.41,457.18,458.02,457.95,2136969
2021-10-26 10:15:00,457.96,457.96,458.49,458.21,2284000
2021-10-26 10:30:00,458.2,457.84,458.359,457.89,1468076
2021-10-26 10:45:00,457.9,457.81,458.4,458.125,1554586
2021-10-26 11:00:00,458.12,457.89,458.31,458.06,1997728
2021-10-26 11:15:00,458.06,458.05,458.35,458.28,855053
2021-10-26 11:30:00,458.29,457.22,458.35,457.91,1777363
2021-10-26 11:45:00,457.92,457.115,457.95,457.15,1621386
2021-10-26 12:00:00,457.15,456.5,457.26,456.97,2037644
2021-10-26 12:15:00,456.97,456.64,457.11,456.67,1647841
2021-10-26 12:30:00,456.665,455.99,456.8501,456.15,1883442
2021-10-26 12:45:00,456.14,455.56,456.3,456.23,2660999
2021-10-26 13:00:00,456.22,456.03,456.5786,456.33,1744019
2021-10-26 13:15:00,456.34,455.82,456.45,456.27,1353252
2021-10-26 13:30:00,456.26,456.16,456.97,456.43,1596502
2021-10-26 13:45:00,456.43,456.32,456.7277,456.61,796992
2021-10-26 14:00:00,456.61,456.585,456.96,456.915,1431452
2021-10-26 14:15:00,456.91,456.72,457.12,456.82,2060401
2021-10-26 14:30:00,456.81,456.5301,457.17,456.55,1442039
2021-10-26 14:45:00,456.56,456.55,457.085,457.06,1103204
2021-10-26 15:00:00,457.07,456.86,457.31,457.09,1784576
2021-10-26 15:15:00,457.0925,456.73,457.285,456.75,1895828
2021-10-26 15:30:00,456.75,456.74,457.205,457.1798,1847101
2021-10-26 15:45:00,457.18,455.89,457.43,455.9801,6352482
2021-10-27 09:30:00,456.45,455.33,456.75,456.48,3686565
2021-10-27 09:45:00,456.46,456.305,457.0583,457.03,2327774
2021-10-27 10:00:00,457.03,455.95,457.16,456.31,2421133
2021-10-27 10:15:00,456.31,455.68,456.46,455.85,1956485
2021-10-27 10:30:00,455.85,455.66,456.32,455.97,1668846
2021-10-27 10:45:00,455.9605,455.54,456.3794,455.73,1764535
2021-10-27 11:00:00,455.73,455.61,456.435,456.4,1366924
2021-10-27 11:15:00,456.4,455.88,456.44,456.15,1093425
2021-10-27 11:30:00,456.16,455.8,456.31,456.043,1066954
2021-10-27 11:45:00,456.04,455.66,456.0799,455.91,2271086
2021-10-27 12:00:00,455.94,455.78,456.39,456.32,700139
2021-10-27 12:15:00,456.33,456.23,456.5,456.31,918871
2021-10-27 12:30:00,456.34,455.91,456.34,456.21,672969
2021-10-27 12:45:00,456.21,456.0,456.31,456.1946,691797
2021-10-27 13:00:00,456.19,456.11,456.76,456.73,891555
2021-10-27 13:15:00,456.73,456.58,456.92,456.79,861764
2021-10-27 13:30:00,456.785,456.61,456.89,456.87,666911
2021-10-27 13:45:00,456.87,456.6,456.97,456.96,612143
2021-10-27 14:00:00,456.96,456.78,457.13,457.095,1453856
2021-10-27 14:15:00,457.09,456.68,457.09,456.73,896746
2021-10-27 14:30:00,456.74,456.4,456.79,456.49,944198
2021-10-27 14:45:00,456.49,456.185,456.55,456.2,738222
2021-10-27 15:00:00,456.19,455.0,456.29,455.01,1820774
2021-10-27 15:15:00,455.01,454.55,455.46,455.325,4660546
2021-10-27 15:30:00,455.325,454.8,455.36,455.14,2944046
2021-10-27 15:45:00,455.14,453.86,455.265,453.9,9972166
2021-10-28 09:30:00,455.46,455.45,456.3899,456.33,3252980
2021-10-28 09:45:00,456.34,455.98,456.96,456.76,2084149
2021-10-28 10:00:00,456.77,456.0424,456.98,456.48,1939582
2021-10-28 10:15:00,456.48,456.27,457.125,457.06,1428808
2021-10-28 10:30:00,457.07,457.0,457.43,457.34,1750028
2021-10-28 10:45:00,457.34,457.34,457.976,457.47,1816063
2021-10-28 11:00:00,457.46,457.4,457.8,457.68,978877
2021-10-28 11:15:00,457.67,457.451,457.865,457.52,1329851
2021-10-28 11:30:00,457.53,457.43,457.93,457.93,964119
2021-10-28 11:45:00,457.92,456.86,457.95,457.08,1545084
2021-10-28 12:00:00,457.08,457.07,457.57,457.57,859662
